mechanism,family,level_kind,markets,allowed_evidence,description
BOOKING_CONVERSION,discipline,level,cards,yellow_cards|red_cards|fouls|cards_per_foul,Cards produced per unit of contact (referee-influenced).
BOX_PRESSURE,attack,level,corners|goals,touches_in_box|shots_inside_box|big_chances|final_third_entries,Penetration into and activity within the penalty area.
BOX_PRESSURE_MATCHUP,matchup,advantage,goals|corners,touches_in_box|touches_in_box_allowed|shots_inside_box|shots_inside_box_allowed|big_chances|big_chances_allowed,A's box penetration vs B's box protection (and reverse).
BOX_PROTECTION,defense,level,goals|corners,touches_in_box_allowed|shots_inside_box_allowed|big_chances_allowed|touches_in_box_against|shots_inside_box_against,Protection of the penalty area.
CLEARANCE_DEPENDENCE,defense,level,corners,clearances|blocked_shots|interceptions,Reliance on clearances/blocks (a corner-conceding profile).
CONTACT_INTENSITY,discipline,level,cards,tackles|fouls|duels|interceptions,"Physical/contact volume (tackles, fouls, duels)."
CONTACT_MATCHUP,matchup,advantage,cards,tackles|fouls|duels|fouled_in_final_third|fouls_drawn|yellow_cards|referee_cards_per_match|league_cards_env,"A contact/foul production vs B foul-drawing, modulated by referee/league (and reverse)."
CORNER_CONCESSION,defense,level,corners,corners_against|blocked_shots|clearances,Rate of conceding corners.
CORNER_MECHANISM_MATCHUP,matchup,advantage,corners,corners|corners_against|crosses|crosses_allowed|blocked_shots|clearances|touches_in_box|possession,Net expected corner-pressure interaction between the two sides.
CROSS_ALLOWANCE,defense,level,corners,crosses_allowed|final_third_entries_allowed|crosses_against|final_third_entries_against,Vulnerability to wide/crossing pressure.
FORMATION_BEHAVIOR_FIT,formation,level,corners|goals,fc_crosses|fc_touches_in_box|fc_possession|fc_total_shots|fc_corners|formation_delta,"How the team's measured behavior under its resolved/projected formation differs from its own baseline (measured, not stereotyped)."
FORMATION_BOX_INTERACTION,formation,advantage,corners|goals,fc_touches_in_box|fmx_touches_in_box|fmx_shots_inside_box_against|fmx_touches_in_box_against|formation_delta,A's box penetration under its formation vs B's box protection under B's formation.
FORMATION_TRANSITION_STATE,formation,level,corners|goals,formation_delta|fc_crosses|fc_possession|fc_total_shots|fc_touches_in_box,How current/projected formation differs from the team's baseline formation family and how measured behavior shifts under that state.
FORMATION_VS_OPP_DEFENSIVE_PROFILE,formation,advantage,corners,fmx_crosses_against|fmx_clearances|fmx_blocked_shots|fmx_corners_against|fmx_shots_inside_box_against,A's formation-conditioned attack vs B's formation-conditioned defensive/clearance response (measured cross-formation interaction).
FORMATION_WIDTH_INTERACTION,formation,advantage,corners,fc_crosses|fmx_crosses|fmx_crosses_against|fc_corners|fmx_corners|fmx_clearances|formation_delta,A's measured width/crossing under its formation vs B's measured cross allowance under B's formation / equivalent behavioral profile.
FOUL_DRAWING,discipline,level,cards,fouled_in_final_third|fouls_drawn,Propensity to draw fouls from the opponent.
FOUL_TENDENCY,discipline,level,cards,fouls|tackles,Propensity to commit fouls.
SAVE_ENVIRONMENT,defense,level,goals,saves|sot_allowed,Goalkeeping shot-stopping load/quality behind goals conceded.
SECOND_HALF_ESCALATION,attack,level,corners|goals,crosses_2h_shift|shots_2h_shift|corners_2h_shift|possession_2h_shift,Escalation of attacking pressure from 1H to 2H (score-state caveated).
SECOND_HALF_PRESSURE_SHIFT,matchup,advantage,corners|goals,crosses_2h_shift|shots_2h_shift|corners_2h_shift|possession_2h_shift,Which side is expected to escalate pressure in 2H (score-state caveated).
SET_PIECE_GENERATION,attack,level,corners,corners|blocked_shots|crosses|throw_ins,Tendency to win corners / set-piece territory.
SHOT_CREATION_MATCHUP,matchup,advantage,goals,total_shots|shots_allowed|xg|xg_allowed|npxg|npxg_allowed|shots_on_target|sot_allowed|saves|shots_inside_box|shots_inside_box_against,A's chance creation vs B's shot suppression / save environment (and reverse).
SHOT_QUALITY,attack,level,goals,xg|npxg|big_chances|shots_inside_box|shots_on_target,"Quality per shot / chance value (xG, big chances, box shots)."
SHOT_SUPPRESSION,defense,level,goals,shots_allowed|sot_allowed|shots_inside_box_allowed|xg_allowed|npxg_allowed|total_shots_against|shots_on_target_against|shots_inside_box_against,Ability to limit opponent shot volume/quality.
SHOT_VOLUME,attack,level,goals|corners,total_shots|shots_on_target|shots_off_target|shots_outside_box|shots_inside_box,Raw shot generation (all shot locations).
TEMPO_EXPECTATION,matchup,level,goals|corners,possession|attacks|dangerous_attacks|total_shots|league_goals_env|league_corners_env,Expected match tempo/openness relative to competition baseline.
TERRITORIAL_PRESSURE,attack,level,corners|goals,possession|final_third_entries|touches_in_box|attacks|dangerous_attacks,Sustained territorial dominance / field tilt.
WIDE_PRESSURE_MATCHUP,matchup,advantage,corners,crosses|crosses_allowed|clearances|corners|corners_against|throw_ins,A's wide pressure vs B's cross allowance/clearance response (and reverse).
WIDTH_PRESSURE,attack,level,corners,crosses|throw_ins|final_third_entries|possession,"Volume/intent of wide territorial pressure (crossing, wide entries)."
